Processes,Threads,Execution Time (s),Confidence Interval
1,1,22.954,0.157
1,2,22.83747,0.00824
1,4,22.8229,0.0172
1,8,22.80855,0.00408
1,16,22.9030,0.0521
1,32,22.85112,0.00801
8,1,7.9079,0.0168
8,2,7.8332,0.0106
8,4,7.8090,0.0156
8,8,7.7997,0.0105
8,16,7.8039,0.0117
8,32,7.78679,0.00886
16,1,8.5618,0.0512
16,2,8.5880,0.0696
16,4,8.6170,0.0856
16,8,8.6352,0.0765
16,16,8.6712,0.0842
16,32,8.5507,0.0718
32,1,10.3231,0.0972
32,2,10.282,0.108
32,4,10.318,0.118
32,8,10.369,0.119
32,16,10.263,0.119
32,32,10.271,0.124
64,1,14.292,0.116
64,2,14.0053,0.0814
64,4,13.9345,0.0992
64,8,13.8774,0.0945
64,16,13.7893,0.0924
64,32,13.7986,0.0992
